Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
tr|A0A0V0QMJ6|A0A0V0QMJ6_PSEPJ,10,42,240
tr|K2C8V3|K2C8V3_9ZZZZ,11,49,240
tr|A0A1B6I787|A0A1B6I787_9HEMI,12,43,240
tr|R5HB71|R5HB71_9FIRM,10,47,240
tr|A0A1G2XFR0|A0A1G2XFR0_9BACT,10,51,240
tr|A0A1I8H5M2|A0A1I8H5M2_9PLAT,10,44,240
tr|F4PW49|F4PW49_DICFS,11,40,240
tr|A0A1J7IEH4|A0A1J7IEH4_LUPAN,10,57,240
tr|E6LHC4|E6LHC4_9ENTE,11,37,240
tr|A0A1B7TBN0|A0A1B7TBN0_9ASCO,11,41,240
tr|A0A0D2HZS5|A0A0D2HZS5_XYLBA,11,70,240
tr|G5K9J2|G5K9J2_9STRE,10,37,240
tr|A0A1S4E9T8|A0A1S4E9T8_DIACI,10,52,240
tr|E6QEG6|E6QEG6_9ZZZZ,11,53,240
tr|A0A1G0AF16|A0A1G0AF16_9EURY,12,43,240
tr|M0Z451|M0Z451_HORVV,11,40,240
tr|A0A1G1HRE8|A0A1G1HRE8_9BACT,10,47,240
tr|A0A1G4HFL2|A0A1G4HFL2_PLAVI,11,49,240
tr|A0A1F7ZSM7|A0A1F7ZSM7_9EURO,10,42,240
tr|A0A0C3C2S1|A0A0C3C2S1_9PEZI,9,53,240
tr|A0A101UHY0|A0A101UHY0_9ACTN,11,32,240
tr|W6U2W9|W6U2W9_ECHGR,11,44,240
tr|A0A150XZC6|A0A150XZC6_9BACT,10,41,240
tr|S4RW06|S4RW06_PETMA,11,48,240
tr|A0A1E1XM53|A0A1E1XM53_9ACAR,11,52,240
tr|A0A078AMS7|A0A078AMS7_STYLE,11,58,240
tr|A0A1F5DMQ2|A0A1F5DMQ2_9ARCH,11,38,240
tr|A0A1I7ZA77|A0A1I7ZA77_9BILA,9,39,240
tr|A0A1M5XVM7|A0A1M5XVM7_9CLOT,11,47,240
tr|A0A1F7C2A2|A0A1F7C2A2_9BACT,10,48,240
tr|B2AUG4|B2AUG4_PODAN,10,67,240
tr|U2TJ51|U2TJ51_9ACTN,10,41,240
tr|H5SGV7|H5SGV7_9PROT,12,46,240
tr|A0A1L4FS70|A0A1L4FS70_9MOLU,11,45,240
tr|A0A1R2B9L2|A0A1R2B9L2_9CILI,10,59,240
tr|A0A149SXK2|A0A149SXK2_9PROT,11,59,240
tr|A0A1E9PR26|A0A1E9PR26_9LACT,11,46,240
tr|A0A0L0HQR2|A0A0L0HQR2_SPIPN,10,41,240
tr|A0A1J4YMM2|A0A1J4YMM2_9PROT,10,54,240
tr|A0A1J0E9J8|A0A1J0E9J8_PRORE,11,49,240
tr|A0A1B3WMR9|A0A1B3WMR9_9CHLR,10,49,240
tr|X6MFM8|X6MFM8_RETFI,10,44,240
tr|A0A0K2WQQ8|A0A0K2WQQ8_9GAMM,12,39,240
tr|A0A1A9T500|A0A1A9T500_9PROT,11,43,240
tr|A0A132A6Y7|A0A132A6Y7_SARSC,10,54,240
tr|A0A1F9QUT4|A0A1F9QUT4_9BACT,10,44,240
tr|A0A1B6QD94|A0A1B6QD94_SORBI,10,52,240
tr|A0A1D2WLJ2|A0A1D2WLJ2_9EURY,10,51,240
tr|A0A1B7MML3|A0A1B7MML3_9HOMO,11,51,240
sp|Q55CB0|RASU_DICDI,10,47,240
tr|M4CG17|M4CG17_BRARP,11,46,240
tr|B7PB89|B7PB89_IXOSC,10,52,240
tr|A7S8C2|A7S8C2_NEMVE,10,55,240
tr|A0A091GTP3|A0A091GTP3_9AVES,10,41,240
tr|A0A1Q7TNB1|A0A1Q7TNB1_9EURY,11,53,240
tr|A0A0F2LCL2|A0A0F2LCL2_9CREN,10,51,240
tr|B5DW47|B5DW47_DROPS,9,61,240
tr|A0A1R2AXP2|A0A1R2AXP2_9CILI,10,36,240
tr|A0A090LJ28|A0A090LJ28_STRRB,10,51,240
tr|G3S3H3|G3S3H3_GORGO,11,44,240
tr|H5XIT8|H5XIT8_9PSEU,11,43,240
tr|A0A1B3ZAR6|A0A1B3ZAR6_9SPHN,10,55,240
tr|A0A1F3AUL0|A0A1F3AUL0_9PROT,11,48,240
tr|M7ARP0|M7ARP0_CHEMY,11,48,240
tr|A7S2H9|A7S2H9_NEMVE,9,45,240
tr|A0A0Y5LFA7|A0A0Y5LFA7_NEIME,11,55,240
tr|B8KUJ5|B8KUJ5_9GAMM,10,47,240
tr|H3BFX8|H3BFX8_LATCH,11,44,240
tr|A0A0N5DYD2|A0A0N5DYD2_TRIMR,9,49,240
tr|A0A067RA14|A0A067RA14_ZOONE,11,48,240
tr|A0A0E4G9M7|A0A0E4G9M7_9FIRM,11,40,240
tr|A0A1C7HE14|A0A1C7HE14_9BACT,10,39,240
tr|K2RK88|K2RK88_MACPH,10,49,240
tr|X1BCU1|X1BCU1_9ZZZZ,11,42,240
tr|A0A1Q3JUB9|A0A1Q3JUB9_9BRAD,11,46,240
tr|G0MUT8|G0MUT8_CAEBE,11,54,240
tr|A0A1L8T4B6|A0A1L8T4B6_9ENTE,11,43,240
tr|A0A151DZL9|A0A151DZL9_9EURY,11,47,240
tr|A0A146KU95|A0A146KU95_LYGHE,10,58,240
tr|A0A1M5PCW5|A0A1M5PCW5_9FIRM,11,48,240
tr|A0A1Q3J1R7|A0A1Q3J1R7_9PROT,11,47,240
tr|C3X9K0|C3X9K0_OXAFO,9,52,240
tr|A0A177PG01|A0A177PG01_9RHIZ,11,55,240
tr|A0A0G0I2X2|A0A0G0I2X2_9BACT,10,53,240
tr|D2V3K0|D2V3K0_NAEGR,8,42,240
tr|W0JJX9|W0JJX9_DESAE,10,47,240
