Sequence_Header,Bin_Assignment_1,Bin_Assignment_2,Vote_Count,Total_Votes
UniRef100_A0A4Y1RP54,3,17,8,368
UniRef100_G0U5Q2,2,12,10,368
UniRef100_A0A420WKD4,11,5,9,368
UniRef100_A0A2E9EDA2,5,7,10,368
UniRef100_A0A424IU87,18,12,11,368
UniRef100_A0A0S2TA55,8,7,7,368
UniRef100_A0A2H0XXH7,9,3,11,368
UniRef100_A0A103XMU2,11,5,7,368
UniRef100_A0A3S8ZQ70,2,13,7,368
UniRef100_A0A1V8NDA3,6,15,10,368
UniRef100_A0A0G1DZU8,13,7,8,368
UniRef100_UPI00079FB344,6,14,7,368
UniRef100_A0A2I2V240,4,12,7,368
UniRef100_UPI000D62B920,4,7,7,368
UniRef100_A0A3N9NPJ6,11,4,8,368
UniRef100_A0A5J5BCB0,5,15,9,368
UniRef100_A0A1X0NZB3,4,15,6,368
UniRef100_UPI0005EDF768,12,7,9,368
UniRef100_A0A346PYC2,4,16,9,368
UniRef100_A0A397EK52,4,12,9,368
UniRef100_A0A178FQA5,6,12,8,368
UniRef100_A0A194W383,3,18,6,368
UniRef100_A0A2D6VSW4,8,5,7,368
UniRef100_S8E577,3,13,7,368
UniRef100_E2R4A9,11,4,10,368
UniRef100_UPI00125D6738,6,6,8,368
UniRef100_A0A238V917,6,12,9,368
UniRef100_A0A537TAG7,12,8,11,368
UniRef100_A0A140LIV1,4,10,9,368
UniRef100_A0A353WRH6,14,5,8,368
UniRef100_A0A0E0LQQ3,5,9,7,368
UniRef100_UPI00105AD415,13,6,8,368
UniRef100_A0A0G3V4M0,18,10,9,368
UniRef100_A0A1S8W5U5,6,9,9,368
UniRef100_W6UNT4,4,10,8,368
UniRef100_UPI0004C82521,5,11,8,368
UniRef100_A0A1G2BPC8,6,9,8,368
UniRef100_UPI00068D76D1,7,13,9,368
UniRef100_A0A1X2GFP6,16,7,10,368
UniRef100_A0A058Z7J7,9,5,8,368
UniRef100_A0A402FK22,5,14,10,368
UniRef100_A0A150VJ36,4,18,8,368
UniRef100_R5TMA4,6,12,7,368
UniRef100_A0A2G5BIY6,11,6,8,368
UniRef100_A0A451D624,4,16,10,368
UniRef100_A0A1X6NTZ6,7,7,8,368
UniRef100_A0A3F2Y334,16,7,8,368
UniRef100_A0A1Z2TMD7,6,8,8,368
UniRef100_A0A3B4AFF3,4,8,8,368
UniRef100_A0A3N4S5I7,5,9,8,368
UniRef100_A0A5N5KEA8,3,18,8,368
UniRef100_A0A1J8PGN6,9,6,8,368
UniRef100_A0A290Q4S4,11,9,10,368
UniRef100_A0A267EP00,5,10,10,368
UniRef100_B7FWS9,5,15,11,368
UniRef100_A0A0F9VCP3,16,7,10,368
UniRef100_A0A2A2KQ33,4,10,8,368
UniRef100_A0A0G1Q3Q4,15,6,9,368
UniRef100_X5HJH1,7,13,9,368
UniRef100_A0A3D1F834,5,8,8,368
UniRef100_A0A2U8VUW2,6,14,9,368
UniRef100_A0A5J9W6Z0,12,6,9,368
UniRef100_UPI00056273E4,11,8,7,368
UniRef100_A0A1W1X4A2,7,5,9,368
UniRef100_UPI0009E2B674,7,7,9,368
UniRef100_V2XNW4,5,14,7,368
UniRef100_U1PGD6,4,7,9,368
UniRef100_G1PEJ2,3,12,8,368
UniRef100_A0A175VWS0,4,16,10,368
UniRef100_A0A1F8ESN2,7,13,9,368
UniRef100_A0A0D0B6F2,17,7,7,368
UniRef100_A0A0G0VC45,16,6,9,368
UniRef100_UPI001263F91B,13,4,7,368
UniRef100_A0A024UT37,6,6,9,368
UniRef100_A0A2V3J0X2,14,6,8,368
UniRef100_UPI0011F39CC3,3,14,8,368
UniRef100_A0A3Q0KR20,4,6,8,368
UniRef100_A0A4Y7L327,2,11,8,368
UniRef100_A0A2I4FXX4,7,12,8,368
UniRef100_A0A072VJS4,6,14,7,368
UniRef100_A0A2C9KBM7,3,13,11,368
UniRef100_F4QD50,4,14,11,368
UniRef100_UPI000525748B,4,13,9,368
UniRef100_A0A537N7Y2,4,9,7,368
UniRef100_A0A1E4SZT6,14,6,7,368
UniRef100_A0A1F7U5A1,11,8,9,368
UniRef100_A0A2V1AZI0,5,13,8,368
UniRef100_A0A2R6DK81,5,12,9,368
UniRef100_A0A3A0FB84,6,9,9,368
UniRef100_UPI00092F5718,5,5,7,368
UniRef100_UPI0006C9549F,14,6,11,368
UniRef100_UPI00084918ED,8,7,9,368
UniRef100_U6N9P3,6,13,11,368
UniRef100_A0A5C3ND16,6,8,8,368
UniRef100_A0A061GW31,3,11,8,368
UniRef100_D7FQE8,3,13,7,368
UniRef100_A0A1F7U1U6,2,17,14,368
UniRef100_A0A4V3SIX9,15,8,8,368
UniRef100_A0A3B3XKZ3,11,8,8,368
UniRef100_M0S0U9,9,9,7,368
UniRef100_A0A2G5DCK1,3,12,7,368
UniRef100_A0A5J5BAH8,9,7,8,368
UniRef100_A0A2N5ZV40,3,13,7,368
UniRef100_A0A0K9RUL4,3,7,8,368
UniRef100_B8BXI8,18,14,11,368
UniRef100_A0A2T2ZVL8,4,12,8,368
UniRef100_UPI00129919AC,4,16,8,368
UniRef100_A0A1D2NMR3,3,12,8,368
UniRef100_A0A2M8KH64,13,6,9,368
UniRef100_A0A0P1BR26,8,8,8,368
UniRef100_A0A3B1AMQ0,4,13,9,368
UniRef100_A0A354FHB8,3,11,8,368
UniRef100_A0A1Z9U0F5,9,9,8,368
UniRef100_A0A0M8N7J8,17,7,9,368
UniRef100_A0A2R6JVQ7,5,9,12,368
UniRef100_U3AED7,4,9,7,368
UniRef100_A0A0F6CJX4,4,11,10,368
UniRef100_UPI000F5E9E7A,4,14,7,368
UniRef100_A8JDN2,4,10,9,368
UniRef100_A0A3Q2DUA0,4,15,8,368
UniRef100_UPI00042703D3,5,16,9,368
UniRef100_A0A3M0CHI6,7,9,10,368
UniRef100_A0A060RWR8,4,11,8,368
UniRef100_A0A060S4Y7,12,4,7,368
UniRef100_UPI0009AEF143,5,9,8,368
UniRef100_A0A2M6WTX2,4,12,8,368
UniRef100_A0A2D7MKE6,11,8,10,368
UniRef100_UPI000E456B98,11,3,11,368
UniRef100_A0A1G2FB89,6,16,8,368
UniRef100_A0A1Y1WDY4,7,5,7,368
UniRef100_A0A5J5EEJ3,7,13,10,368
UniRef100_K2A493,16,7,8,368
UniRef100_A0A177UIP9,4,15,8,368
UniRef100_A0A3N5J6I3,2,14,10,368
UniRef100_A0A067QBU0,8,10,7,368
UniRef100_UPI00110E5503,16,5,7,368
UniRef100_A0A0F9Q526,4,11,8,368
UniRef100_A0A426CZ63,7,11,10,368
UniRef100_UPI00094E2D52,3,15,8,368
UniRef100_A0A1G2BET3,4,10,11,368
UniRef100_A0A3D6D1P7,14,7,10,368
UniRef100_UPI000CD9B916,3,11,8,368
UniRef100_A0A2C5XBK6,4,13,6,368
UniRef100_A0A3B4YRE5,5,10,7,368
UniRef100_A0A1J3JLT0,5,16,9,368
UniRef100_UPI00117D5143,7,7,8,368
UniRef100_UPI0004CCFE65,18,10,9,368
UniRef100_L1K1R7,4,17,11,368
UniRef100_A0A1G1KI42,9,8,8,368
UniRef100_UPI0006B0F3E8,6,11,8,368
UniRef100_A0A1G2VUH5,7,7,7,368
UniRef100_K5W8S5,8,8,8,368
UniRef100_A0A5D6Y3N1,8,10,13,368
UniRef100_A0A3B0YA72,6,15,10,368
UniRef100_A0A3D5YSK8,2,14,13,368
UniRef100_A0A2N1VP02,2,18,7,368
UniRef100_A0A4D6XV47,2,16,13,368
UniRef100_A0A5B7C548,5,8,8,368
UniRef100_A0A1F8EHM2,16,5,11,368
UniRef100_D1CFE7,3,10,7,368
UniRef100_A0A1F3XUV7,11,4,9,368
UniRef100_A0A1Y2HTV9,5,10,8,368
UniRef100_G7JRB1,5,7,10,368
UniRef100_G0UJL2,5,14,8,368
UniRef100_A0A507FMK3,5,8,8,368
UniRef100_A0A410TSH5,5,13,8,368
UniRef100_A0A4Y9Y6Y9,6,12,9,368
UniRef100_A0A2R6RK00,4,10,7,368
UniRef100_UPI0012631EE0,6,6,8,368
UniRef100_A0A086J1Q8,4,7,8,368
UniRef100_A0A5C9DN26,10,7,8,368
UniRef100_A0A1F5ZRG1,7,13,9,368
UniRef100_A0A0H5R4G8,4,13,7,368
UniRef100_A0A1X2IVM9,8,5,7,368
UniRef100_A0A0K6G8X8,5,15,9,368
UniRef100_UPI000629B9C1,3,11,8,368
UniRef100_A0A2V9AP16,16,5,9,368
UniRef100_A0A1F7U7K5,7,10,9,368
UniRef100_A0A2A2Q7E0,17,9,8,368
UniRef100_F4R3U2,4,15,11,368
UniRef100_A0A3M1JXG0,4,13,9,368
UniRef100_UPI001035B841,7,11,7,368
UniRef100_F8N3J1,5,9,8,368
UniRef100_C9ZJR1,5,9,8,368
UniRef100_A0A139B0C8,4,17,9,368
UniRef100_UPI000595AFB8,6,6,7,368
UniRef100_K1Y6Q1,5,8,7,368
UniRef100_A0A536H121,12,6,8,368
UniRef100_UPI0004B11813,16,7,11,368
UniRef100_A0A1B9IBX9,13,5,9,368
UniRef100_A0A1F6AP80,3,13,7,368
UniRef100_UPI000B7954C3,3,13,9,368
UniRef100_A0A0G4HF20,17,6,10,368
UniRef100_T0R8Y3,3,12,8,368
UniRef100_A0A2P6N6J8,11,6,8,368
UniRef100_A0A0L0SDE0,4,16,8,368
UniRef100_A0A507E069,10,7,9,368
UniRef100_A0A1Y1UAQ9,7,9,7,368
UniRef100_A0A1F7YC39,8,5,10,368
UniRef100_A0A061J436,6,9,8,368
UniRef100_A0A1G1X471,11,8,9,368
UniRef100_H2ZLZ7,3,14,10,368
UniRef100_R0HN61,18,11,8,368
UniRef100_A0A165ALC5,14,6,9,368
UniRef100_A0A4Q1C496,5,15,8,368
UniRef100_UPI0009E5B591,4,11,10,368
UniRef100_A0A1G1IJZ0,9,10,12,368
UniRef100_A0A2V8X298,4,13,8,368
UniRef100_A0A2D4BSY0,4,15,7,368
UniRef100_A0A5Q4EAD6,14,5,7,368
UniRef100_A0A251VEG4,7,9,8,368
UniRef100_UPI000947BFC9,4,10,8,368
UniRef100_A0A3D3GJ45,15,7,8,368
UniRef100_A0A0P7BQ49,3,13,7,368
UniRef100_H3F5H0,11,4,8,368
UniRef100_A0A1N6GJS4,6,13,8,368
UniRef100_A0A226NW13,5,15,10,368
UniRef100_A0A420Z334,3,14,7,368
UniRef100_A0A1X2IT76,4,10,7,368
UniRef100_A0A4U8UXJ2,3,14,11,368
UniRef100_A0A1G0YPF7,4,17,8,368
UniRef100_A0A1D1YA25,2,17,8,368
UniRef100_A0A3A5JQJ2,5,13,8,368
UniRef100_UPI00033157D8,6,10,8,368
UniRef100_A0A1J5J190,6,11,9,368
UniRef100_UPI000F7CDF19,4,9,9,368
UniRef100_A0A496RAS3,3,17,7,368
UniRef100_A0A1J5DA75,2,10,9,368
UniRef100_UPI00077EAB13,3,12,9,368
UniRef100_A0A3D2WVX9,18,13,7,368
UniRef100_A0A0P7X7N1,5,15,7,368
UniRef100_A0A257VMY8,8,6,8,368
UniRef100_UPI0005233ECB,9,6,8,368
UniRef100_A0A4S2V6Y5,2,14,7,368
UniRef100_A0A537MUK3,3,18,8,368
UniRef100_A0A4P6XJK5,10,6,9,368
UniRef100_A0A094FEU5,6,10,8,368
UniRef100_A0A4T0X0B0,6,8,8,368
UniRef100_UPI0006AB1022,10,3,8,368
UniRef100_A0A5B7BA67,13,4,8,368
UniRef100_UPI000719ED64,5,8,6,368
UniRef100_L1JE79,8,8,9,368
UniRef100_A0A3P3Z8T6,2,12,7,368
UniRef100_H0T380,3,18,11,368
UniRef100_W6KD98,14,6,9,368
UniRef100_A0A1F6QF81,11,5,9,368
UniRef100_A0A2B4RS52,7,8,9,368
UniRef100_A0A0W8CX88,6,13,12,368
UniRef100_Q8HSW1,11,4,8,368
UniRef100_A0A024G747,5,14,10,368
UniRef100_A0A1D1ZXB5,4,10,9,368
UniRef100_W6L8G6,3,13,8,368
UniRef100_A0A2R6LWH2,4,12,8,368
UniRef100_A0A1G1CJI1,8,6,8,368
UniRef100_A0A3C1YQ46,12,6,10,368
UniRef100_A0A2D8RSI4,4,14,8,368
UniRef100_UPI000F423407,3,16,12,368
UniRef100_A0A420Z525,3,13,9,368
UniRef100_D8UDZ4,10,7,8,368
UniRef100_A0A0G1MUK0,5,11,9,368
UniRef100_A0A285LQH8,11,4,10,368
UniRef100_A0A2T1HLQ7,8,7,7,368
UniRef100_V4JE66,4,7,9,368
UniRef100_A0A2E8CV62,7,14,9,368
UniRef100_UPI0011F3F912,3,16,10,368
UniRef100_A0A1Y1JJ82,18,13,7,368
UniRef100_A0A2D5S8T1,13,6,10,368
UniRef100_UPI000679C456,4,12,7,368
UniRef100_A0A1J7HGX3,9,7,7,368
UniRef100_A0A5C7HCI0,6,6,9,368
UniRef100_A0A1Q4BWR3,3,15,8,368
UniRef100_A0A3P7N747,3,14,8,368
UniRef100_A0A2H0YUT8,6,7,9,368
UniRef100_A0A2E6NF68,6,14,8,368
UniRef100_UPI0007E349AF,11,6,9,368
UniRef100_A0A523WEN8,5,9,9,368
UniRef100_A0A401SRW8,4,12,7,368
UniRef100_B2KEK1,6,15,8,368
UniRef100_A0A1Z5JJF3,4,17,11,368
UniRef100_A0A1V6P8N1,7,8,9,368
UniRef100_A0A5C6C4N2,5,15,8,368
UniRef100_A0A1A7XDN9,4,11,8,368
UniRef100_U3LND1,2,17,6,368
UniRef100_A0A1Y1VFA3,6,13,9,368
UniRef100_A0A1F5AYK8,6,7,9,368
UniRef100_A0A0G1FMK5,15,8,10,368
UniRef100_A0A2M7RN22,8,11,9,368
UniRef100_A0A3Q0DQT7,3,18,10,368
UniRef100_A0A432RP39,2,16,7,368
UniRef100_A0A484KYQ8,7,10,7,368
UniRef100_UPI000A32C15C,4,13,10,368
UniRef100_A0A522U223,4,10,7,368
UniRef100_A0A2E1P335,5,10,7,368
UniRef100_A0A0G1HSM6,8,10,9,368
UniRef100_A0A554NB62,15,5,9,368
UniRef100_A0A1F7ULV2,6,14,8,368
UniRef100_A8PQY5,4,14,10,368
UniRef100_UPI0005125042,15,7,7,368
UniRef100_C1MUS8,4,7,7,368
UniRef100_A0A3L8S8R4,6,6,8,368
UniRef100_E0VX08,16,7,11,368
UniRef100_A0A2A9PIM0,4,18,8,368
UniRef100_A0A1B0AS22,6,8,8,368
UniRef100_A0A1F7U5B1,16,7,10,368
UniRef100_W2UZN2,17,8,8,368
UniRef100_Q6BIB5,5,15,7,368
UniRef100_A0A1V6I5J9,5,16,9,368
UniRef100_H3C7S4,7,11,9,368
UniRef100_A0A496TD01,6,14,9,368
UniRef100_A0A517MKZ0,7,9,8,368
UniRef100_A0A5J4YQP3,3,12,7,368
UniRef100_A0A162ATF1,4,7,8,368
UniRef100_UPI0007DB8349,2,17,7,368
UniRef100_A0A0L8IG45,2,12,8,368
UniRef100_UPI000C1D1B06,5,7,9,368
UniRef100_A0A1Y1HR93,9,5,9,368
UniRef100_A0A2C6KEA3,5,8,9,368
UniRef100_A0A370DBF6,10,9,9,368
UniRef100_K6HBI8,6,9,7,368
UniRef100_A0A3B9T6R1,6,13,7,368
UniRef100_A0A2D0PJR9,3,7,8,368
UniRef100_A0A024S0W3,7,10,10,368
UniRef100_G1N0F4,4,13,7,368
UniRef100_A0A1G8Y6T0,11,7,8,368
UniRef100_A0A5B8MRW7,6,13,10,368
UniRef100_A0A288DC92,3,11,12,368
UniRef100_A0A3E1EM51,15,8,10,368
UniRef100_A0A1F5ELA2,3,8,10,368
UniRef100_UPI000997981F,3,13,8,368
UniRef100_A0A2M7WLF9,14,6,10,368
UniRef100_H3H479,2,12,7,368
UniRef100_A0A1F6UV19,12,5,7,368
UniRef100_A0A1Z9ICI9,4,16,11,368
UniRef100_A0A0H3A6Z5,3,18,11,368
UniRef100_A0A2A3ELU8,18,14,9,368
UniRef100_A0A077ZUE2,9,5,7,368
UniRef100_UPI00070428EC,5,13,8,368
UniRef100_A0A2H0UQR0,6,14,10,368
UniRef100_UPI0003B32C42,3,10,8,368
UniRef100_A0A1G1Z6B5,16,7,11,368
UniRef100_A0A2E6YLN6,14,6,8,368
UniRef100_A0A0C1EAZ7,4,16,8,368
UniRef100_UPI000581656C,6,10,7,368
UniRef100_UPI00117C8EDF,5,15,11,368
UniRef100_A0A1V6CBT1,5,17,9,368
UniRef100_A0A2R6KAZ4,7,8,7,368
UniRef100_UPI0005280C69,8,7,13,368
UniRef100_A0A1L8I2L2,3,11,8,368
UniRef100_A0A3B9PSV0,14,8,8,368
UniRef100_UPI000B90B123,6,6,7,368
UniRef100_A0A2G4SHI2,9,10,8,368
UniRef100_A0A3N5Q931,16,8,8,368
UniRef100_A0A2N2WAJ1,5,16,7,368
UniRef100_A0A3B4GKM0,13,3,7,368
UniRef100_B2A9T9,3,15,8,368
UniRef100_A0A3P9HFD8,14,5,12,368
UniRef100_M7SWU4,4,10,9,368
UniRef100_A0A3B0KCQ8,14,6,9,368
UniRef100_A0A1J5SU19,4,10,11,368
UniRef100_UPI000878C506,4,13,12,368
UniRef100_UPI0007426206,13,5,8,368
UniRef100_A0A093JBC1,4,17,8,368
UniRef100_A0A2D9P461,3,11,9,368
UniRef100_A0A2X0LN09,8,9,8,368
UniRef100_A0A1E3QMI7,10,6,8,368
UniRef100_UPI00051F1633,3,15,9,368
